section,element,fontSize,color,url
1heroTextBig,/html/body/div/div/div/section/div/article/div/div[1]/div/div[2]/div/div[1],16px,#636363,http://pelvic.dev.ciandt.cn
3heroTextSmall,/html/body/div/div/div/section/div/article/div/div[1]/div/div[2]/div/div[2],11px,#2b2d2f,http://pelvic.dev.ciandt.cn
4factTitle,/html/body/div/div/div/section/div/article/div/div[2]/section/h1,22px,#4a4a4a,http://pelvic.dev.ciandt.cn
5factText1,/html/body/div/div/div/section/div/article/div/div[2]/section/div[1]/p,11px,#2b2d2f,http://pelvic.dev.ciandt.cn
6fiftyPer,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[1]/div/div[2],72px,#626262,http://pelvic.dev.ciandt.cn
7approximately,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[1]/div/div[1],12px,#626262,http://pelvic.dev.ciandt.cn
8in,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[2]/div/div[2],15px,#4a4a4a,http://pelvic.dev.ciandt.cn
9oneTen,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[2]/div/div[3],72px,#626262,http://pelvic.dev.ciandt.cn
10thirFourty,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[3]/div/div[1],72px,#626262,http://pelvic.dev.ciandt.cn
11under50,/html/body/div/div/div/section/div/article/div/div[2]/section/div[2]/div[1]/p,12px,#4a4a4a,http://pelvic.dev.ciandt.cn
12factText2,/html/body/div/div/div/section/div/article/div/div[2]/section/div[3]/p,11px,#4a4a4a,http://pelvic.dev.ciandt.cn
13bottomTitle,/html/body/div/div/div/section/div/article/div/div[3]/div/div[2]/div[1]/div/h2,22px,#000000,http://pelvic.dev.ciandt.cn
14bottomContent,/html/body/div/div/div/section/div/article/div/div[3]/div/div[2]/div[1]/div/p[1],11px,#000000,http://pelvic.dev.ciandt.cn
15Ref,/html/body/div/div/div/section/div/article/div/div[4]/ul/li[1],8px,#4a4a4a,http://pelvic.dev.ciandt.cn
17footerMenu,//*[@id="block-footer"]/ul/li[1]/a,9px,#000000,http://pelvic.dev.ciandt.cn
18footerInfo,//*[@id="block-pmcopyright"]/div/p,7px,#000000,http://pelvic.dev.ciandt.cn
